Designator,Mid X,Mid Y,Rotation,Layer
C1,37.77,19.9,180.0,bottom
C10,11.1,54.35,135.0,top
C11,40.2375,87.3875,180.0,top
C12,40.1125,88.6125,180.0,top
C13,38.3875,87.3875,0.0,top
C14,7.410589,66.360589,45.0,top
C15,6.760589,67.060589,45.0,top
C16,6.773844,60.054694,135.0,top
C17,6.110589,59.389411,135.0,top
C18,14.65,73.75,315.0,top
C19,12.9,64.8,315.0,bottom
C2,10.85,41.55,90.0,top
C20,38.895,34.386,0.0,top
C21,38.9,35.35,0.0,top
C22,24.0,40.93,90.0,top
C3,12.475,44.425,180.0,top
C4,68.6375,53.8625,270.0,bottom
C5,69.6,53.8625,270.0,bottom
C6,68.6375,52.0125,90.0,bottom
C7,16.266752,70.891105,315.0,top
C8,16.938504,71.55,315.0,top
C9,11.794302,55.034236,135.0,top
D1,10.7,84.9875,270.0,top
J3,55.05,18.85,270.0,top
J4,25.15,35.2,180.0,top
J5,23.55,18.85,90.0,top
J6,62.1,10.4,270.0,bottom
J7,32.55,17.35,180.0,top
J8,67.35,82.91,180.0,top
R1,34.21,36.66,315.0,bottom
R10,14.360624,49.660624,135.0,bottom
R11,45.38,64.69,180.0,top
R12,45.38,63.69,0.0,top
R13,45.4,62.165,180.0,top
R14,45.4,61.165,0.0,top
R15,45.4,59.64,0.0,top
R16,38.1,83.2,0.0,top
R17,64.45,52.72,90.0,bottom
R18,42.2,83.1,45.0,top
R19,21.57,66.27,45.0,top
R2,6.26,52.01,180.0,bottom
R20,20.67,67.17,45.0,top
R21,64.6,56.0,315.0,bottom
R22,22.45,68.6,270.0,bottom
R23,7.33,55.75,180.0,bottom
R24,45.4,58.64,180.0,top
R25,45.4,56.115,180.0,top
R26,45.4,57.115,0.0,top
R27,16.7,54.7,315.0,top
R28,17.560624,55.539376,315.0,top
R29,19.5,54.5,315.0,top
R3,21.708118,45.133342,270.0,top
R30,19.97,67.869376,45.0,top
R31,14.539376,67.339376,315.0,bottom
R32,22.2,63.6,45.0,top
R33,19.3,57.3,315.0,top
R34,42.6,86.6,90.0,top
R35,37.9,85.0,270.0,top
R36,8.3,67.9,315.0,top
R37,20.9,55.9,135.0,top
R38,20.2,55.2,135.0,top
R39,20.5,70.2,45.0,bottom
R4,34.53,33.59,135.0,bottom
R40,66.3,51.5,0.0,bottom
R41,66.8,56.2,0.0,bottom
R42,49.8,85.8,0.0,top
R43,49.1,81.5,135.0,bottom
R44,60.4,80.8,90.0,bottom
R5,6.51,53.1,180.0,bottom
R6,18.083118,44.693342,180.0,top
R7,21.66,60.26,225.0,top
R8,15.44,74.95,225.0,top
R9,11.95,85.2625,270.0,top
RV3,37.665,21.35,90.0,bottom
RV4,39.665,19.3,0.0,bottom
TP3,29.1,40.15,0.0,top
TP4,12.9,37.6,0.0,top
TP5,18.7,85.0,0.0,top
TP6,15.175,85.0,0.0,top
TP7,48.64,53.6,270.0,top
TP8,42.14,53.6,270.0,top
U1,14.092399,62.883121,225.0,top
U2,66.55,53.8125,0.0,bottom
U3,40.2375,85.3,270.0,top
U4,38.92,30.161,270.0,top
U5,19.670618,41.418342,90.0,top
U6,12.65,42.05,270.0,top
